text,type,label,
"Beware of the false prophets , who come to you in sheep's clothing , and inwardly are ravening wolves .",heterographic,0,
Don't put the cart before the horse .,heterographic,0,
"Alex , I'll take "" Things Only I Know "" for $ 1000 , please .",heterographic,0,
"Good riding at two anchors , men have told , for if the one fails , the other may hold .",heterographic,0,
While the grass grows the steed starves .,heterographic,0,
Our greatest glory is not in never falling but in rising every time we fall .,heterographic,0,
"I am the Marlboro Man of Borg . I ( cough ) will assim - ( choke , wheeze ) . .",heterographic,0,
There is nothing more precious than time and nothing more prodigally wasted .,heterographic,0,
He complains wrongfully at the sea that suffer shipwreck twice .,heterographic,0,
"Life's battle don't always go to the stronger or faster man , but sooner or later the man who wins is the one who thinks he can .",heterographic,0,
,,,
An egotist is a person who is more interested in himself than in me .,homographic,0,
Press any key to continue . . Any other key to format hard drive .,homographic,0,
You can catch more flies with a drop of honey than with a barrel of vinegar .,homographic,0,
They who would be young when they are old must be old when they are young .,homographic,0,
"If fortune favours , beware of being exalted ; if fortune thunders , beware of being overwhelmed .",homographic,0,
A friend cannot be known in prosperity nor an enemy be hidden in adversity .,homographic,0,
"If it looks like a duck , swims like a duck , and quacks like a duck , then it probably is a duck .",homographic,0,
Give a man a fish and you feed him for a day . Teach a man to fish and you feed him for a lifetime .,homographic,0,
"For want of a nail the shoe is lost , for want of a shoe the horse is lost , for want of a horse the rider is lost .",homographic,0,
Love is not finding someone to live with ; it's finding someone whom you can't live without .,homographic,0,
,,,
Autobiography: when your car starts telling you about its life.?,homographic,1,
"OLD GEOGRAPHERS never die , they just become legends.",homographic,1,
Why so glum?  I've got a bad case of shingles so the doctor prescribed aluminum siding. ,homographic,1,
Time flies like an arrow; fruit flies like a banana.,homographic,1,
"You can tune a guitar, but you can¡¯t tuna fish. Unless of course, you play bass.",homographic,1,
Those who like sport fishing can really get hooked .,homographic,1,
A bank manager who was also a high jumper spent most of his time in the vault .,homographic,1,
Getting rid of your boat for another could cause a whole raft of problems .,homographic,1,
Lawyers have to like alcohol because they're always being called to the bar .,homographic,1,
The man brought an umbrella with him into the ice cream store because he heard there was a chance of sprinkles .,homographic,1,
In the air duct installers union they have lots of opportunity to vent .,homographic,1,
"For a while , Houdini used a lot of trap doors in his act , but he was just going through a stage .",homographic,1,
"Her exam was on the human skeleton , so she decided to bone up .",homographic,1,
Junior loved being a member of the wrestling team even though he was prone to lose .,homographic,1,
"I travel all over America , Tom stated .",homographic,1,
,,,
Why is it so wet in England? Because many kings and queens have reigned there.,homophonic,1,
"You can tune a guitar, but you can¡¯t tuna fish. Unless of course, you play bass.",homophonic,1,
"If you burn the candle on both ends , you¡¯re not as bright as you think",homophonic,1,
The boating store had its best sail ever.,homophonic,1,
People who like gold paint have a gilt complex.,homophonic,1,
A bicycle can't stand on its own because it is two-tired.,homophonic,1,
"No matter how much you push the envelope, it will still be stationery.",homophonic,1,
A pessimist's blood type is always B negative.,homophonic,1,
"Two peanuts walk into a bar, and one was a salted.",homophonic,1,
Reading while sunbathing makes you well red.,homophonic,1,
When a clock is hungry it goes back four seconds.,homophonic,1,
"When she saw her first strands of gray hair, she thought she¡¯d dye.",homophonic,1,
When fish are in schools they sometimes take debate.,homophonic,1,
With her marriage she got a new name and a dress.,homophonic,1,
The pony couldn't speak - he was a little hoarse.,homophonic,1,
